종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2315","-65","-2.73","2380","2380","2290","135553","315310005","112362326230","48536642"
"095570","AJ네트웍스","KOSPI",,"5890","10","0.17","5920","5950","5850","181971","1071449630","275783317550","46822295"
"006840","AK홀딩스","KOSPI",,"16900","-700","-3.98","17400","17400","16900","9629","164176600","223883780900","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","13300","200","1.53","12900","13400","12850","52293","685502150","271243139300","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","18700","100","0.54","18550","18750","18200","32642","604391450","285762572700","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","10800","200","1.89","10500","10950","10500","155867","1679529150","162888883200","15082304"
"027410","BGF","KOSPI",,"4275","125","3.01","4160","4620","4120","4449955","19716105560","409189281525","95716791"
"282330","BGF리테일","KOSPI",,"212000","5500","2.66","207000","213500","204000","18425","3881302500","3664188072000","17283906"
"138930","BNK금융지주","KOSPI",,"7270","40","0.55","7240","7300","7210","715778","5198285110","2369549238420","325935246"
"001460","BYC","KOSPI",,"359000","0","0.00","359000","363500","359000","72","26023500","224236785000","624615"
"001465","BYC우","KOSPI",,"140500","-500","-0.35","141000","141000","139500","64","8962000","30261592500","215385"
"013720","CBI","KOSDAQ","벤처기업부","468","-29","-5.84","496","523","468","22686318","11106966363","126519441048","270340686"
"001040","CJ","KOSPI",,"81000","300","0.37","80300","81700","80000","36801","2983537700","2363336838000","29176998"
"079160","CJ CGV","KOSPI",,"17900","-850","-4.53","18800","19200","17800","442358","8158461450","854065599800","47713162"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","98800","2100","2.17","96000","99700","95100","211179","20792925600","2166600415200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","27750","-50","-0.18","27600","27850","27500","2748","76175150","163133148000","5878672"
"00104K","CJ4우(전환)","KOSPI",,"71000","400","0.57","70500","71000","69000","3487","244471900","300082352000","4226512"
