종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2195","-40","-1.79","2240","2255","2160","193202","426212395","106537929190","48536642"
"095570","AJ네트웍스","KOSPI",,"5880","60","1.03","5880","5920","5770","114246","667752850","275315094600","46822295"
"006840","AK홀딩스","KOSPI",,"16250","-200","-1.22","16150","16500","15800","28362","453405450","215272866250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","14650","350","2.45","14500","14900","14150","343026","4999336850","298775337650","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","18450","200","1.10","18600","18700","18400","42009","779295550","281942217450","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11200","50","0.45","11100","11300","10850","261583","2908593800","168921804800","15082304"
"027410","BGF","KOSPI",,"4270","40","0.95","4250","4375","4240","362857","1561627165","408710697570","95716791"
"282330","BGF리테일","KOSPI",,"212500","-500","-0.23","215500","215500","210500","14358","3056375500","3672830025000","17283906"
"138930","BNK금융지주","KOSPI",,"7320","30","0.41","7300","7350","7280","1189040","8711529830","2385846000720","325935246"
"001460","BYC","KOSPI",,"361000","0","0.00","363500","363500","361000","231","83702000","225486015000","624615"
"001465","BYC우","KOSPI",,"141500","500","0.35","142500","142500","141500","36","5112500","30476977500","215385"
"013720","CBI","KOSDAQ","벤처기업부","431","-36","-7.71","450","454","418","27526708","11926772751","116516835666","270340686"
"001040","CJ","KOSPI",,"82300","1300","1.60","81800","82800","80600","53386","4385390900","2401266935400","29176998"
"079160","CJ CGV","KOSPI",,"17200","-150","-0.86","17450","17500","16850","227697","3912336600","820666386400","47713162"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","101900","7000","7.38","95900","102100","95000","301596","30116462800","2234580792600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","27200","50","0.18","27150","27350","27000","1745","47545450","159899878400","5878672"
"00104K","CJ4우(전환)","KOSPI",,"71900","900","1.27","70700","71900","70700","4019","287463000","303886212800","4226512"
"000120","CJ대한통운","KOSPI",,"89700","-300","-0.33","90900","90900","89300","20204","1816941200","2046267256800","22812344"
"011150","CJ씨푸드","KOSPI",,"2725","45","1.68","2660","2725","2630","55303","147670320","97911356425","35930773"
"011155","CJ씨푸드1우","KOSPI",,"25400","0","0.00","25400","25400","25400","27","685800","5080000000","200000"
"001045","CJ우","KOSPI",,"50200","300","0.60","50200","50200","49700","1182","59132550","113463194600","2260223"
"097950","CJ제일제당","KOSPI",,"391000","11500","3.03","380000","392500","379500","64466","25080843500","5886186726000","15054186"
"097955","CJ제일제당 우","KOSPI",,"172500","2000","1.17","170500","173000","169000","3417","586595500","228982192500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","32700","1850","6.00","31150","33300","30850","77371","2497813850","388200862200","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2315","50","2.21","2275","2330","2255","1054069","2426917055","321535544860","138892244"
"023460","CNH","KOSDAQ","중견기업부","2710","30","1.12","2710","2715","2680","21616","58292420","100812000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110511763600","35648956"
"065770","CS","KOSDAQ","벤처기업부","1530","-10","-0.65","1525","1540","1505","45426","69159185","29699028900","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","944","-111","-10.52","1055","1090","921","213790","209083087","37241926192","39451193"
"000590","CS홀딩스","KOSPI",,"59300","700","1.19","58600","59600","58600","770","45611600","68460782600","1154482"
"012030","DB","KOSPI",,"805","-14","-1.71","815","820","803","241344","195400433","161945016065","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2000","0","0.00","2005","2005","1990","27889","55647865","11680000000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2020","10","0.50","2000","2035","2000","5106","10349980","12221000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2020","5","0.25","2015","2020","2010","2120","4266465","9776800000","4840000"
"016610","DB금융투자","KOSPI",,"4570","30","0.66","4580","4595","4500","35594","162156400","193979997730","42446389"
"005830","DB손해보험","KOSPI",,"66300","900","1.38","65900","66300","64900","71876","4738525300","4694040000000","70800000"
"000990","DB하이텍","KOSPI",,"39700","-950","-2.34","40900","41000","39700","289066","11578078200","1762623943600","44398588"
"000995","DB하이텍1우","KOSPI",,"75900","500","0.66","76000","77300","75400","255","19540200","8524784400","112316"
"139130","DGB금융지주","KOSPI",,"7860","30","0.38","7850","7890","7830","489070","3844903970","1329486247380","169145833"
"001530","DI동일","KOSPI",,"15700","150","0.96","15600","15850","15000","82468","1266180750","401421839000","25568270"
"000210","DL","KOSPI",,"61000","0","0.00","61200","62200","60800","25937","1586484500","1278308924000","20955884"
"001880","DL건설","KOSPI",,"14700","-100","-0.68","14850","14900","14550","8538","125239600","324183274800","22053284"
"000215","DL우","KOSPI",,"35850","0","0.00","35950","36150","35500","1771","63560550","60447222750","1686115"
"375500","DL이앤씨","KOSPI",,"36500","450","1.25","36300","36800","35700","143069","5186882650","1412317239500","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"27200","-50","-0.18","27300","27300","27000","645","17535450","57445067200","2111951"
"37550K","DL이앤씨우","KOSPI",,"24300","-250","-1.02","24400","24600","24250","1642","39943850","51367405500","2113885"
"068790","DMS","KOSDAQ","우량기업부","5950","80","1.36","5870","6040","5720","104963","622881470","146209712950","24573061"
"007340","DN오토모티브","KOSPI",,"65900","-500","-0.75","66400","66700","65300","18840","1243872800","658604929500","9994005"
"004840","DRB동일","KOSPI",,"4150","-10","-0.24","4160","4370","4150","9701","40693600","82709500000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","3840","-290","-7.02","4135","4135","3725","774804","2989190500","106795787520","27811403"
"155660","DSR","KOSPI",,"5750","-100","-1.71","5820","5930","5700","25909","150419120","92000000000","16000000"
"069730","DSR제강","KOSPI",,"5110","40","0.79","5090","5190","5060","42322","217245570","73584000000","14400000"
"017940","E1","KOSPI",,"48000","200","0.42","48200","48350","47600","5439","260092150","329280000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","2010","-20","-0.99","2090","2140","2010","2301223","4784593430","168992621310","84075931"
"037370","EG","KOSDAQ","중견기업부","7880","-30","-0.38","7930","7950","7800","12568","99072220","67964779360","8624972"
"278990","EMB","KONEX","일반기업부","4395","-400","-8.34","4900","4900","4080","1807","7531780","15946035690","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3860","-5","-0.13","3875","3930","3835","213660","824486290","822523540000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4305","55","1.29","4230","4340","4220","11780","50201505","58393390230","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1485","-35","-2.30","1545","1545","1485","652834","981367080","93073540725","62675785"
"383220","F&F","KOSPI",,"139500","2500","1.82","138500","141500","138000","141335","19746805500","5343836962500","38307075"
"007700","F&F홀딩스","KOSPI",,"30550","-800","-2.55","31550","32000","30300","531144","16542830300","1194943911850","39114367"
"214270","FSN","KOSDAQ","중견기업부","3675","25","0.68","3660","3755","3550","377288","1383271265","116417149800","31678136"
